district,layout,area_m2,base_rent,furnished,age_days
praha9,2+kk,50,21900.0,Ne,13
praha3,3+kk,109,61900.0,Ne,13
praha5,2+kk,56,24900.0,Částečně,13
praha8,2+kk,60,34000.0,,13
praha10,2+kk,58,26000.0,,13
praha10,2+kk,50,21000.0,Ne,13
praha9,1+kk,25,15000.0,Částečně,13
praha7,3+kk,74,29500.0,,13
praha4,2+kk,51,19900.0,Částečně,13
praha10,3+kk,86,27000.0,,13
praha8,3+kk,85,61000.0,Ano,13
praha7,1+kk,35,14900.0,Ne,13
praha4,2+1,52,25000.0,Ano,13
praha9,2+kk,63,26990.0,,13
praha5,1+kk,30,18000.0,Částečně,13
praha9,2+kk,45,22900.0,Částečně,13
praha5,3+kk,115,49900.0,Ano,13
praha3,2+kk,55,26500.0,Částečně,13
praha5,4+kk,147,32000.0,,13
praha5,2+kk,38,18900.0,,13
praha4,2+kk,58,24000.0,Ne,13
praha5,2+kk,54,24500.0,Částečně,13
praha8,1+kk,31,20400.0,Ano,13
praha8,2+kk,56,19000.0,Ano,13
praha5,2+kk,65,22500.0,Částečně,13
praha5,2+kk,47,26000.0,,13
praha2,3+kk,110,67000.0,Ano,13
praha7,2+kk,74,39000.0,Ano,13
praha5,2+kk,52,21000.0,Ano,13
praha10,1+kk,35,16000.0,Ne,13
praha5,2+kk,59,34900.0,Ne,13
